day,product_id,warehouse1_share,warehouse2_share,amazing_sold_count,promotion_sold_count,normal_sold_count
31,10900769,0.4701082003844546,0.4995975765765688,0.0,0.0,23.0
31,1187493,0.19514337934385775,0.7779447511727825,0.0,0.0,0.0
31,389475,0.0019655077605807638,0.0005375120662326519,0.0,0.0,0.0
31,6928982,0.0008202363265977241,0.0026387277710129315,0.0,0.0,0.0
31,4797857,0.00765672111515073,0.9975098581610214,0.0,0.0,41.0
31,3742483,0.00034615374694484927,0.0005358878609178476,0.0,0.0,0.0
31,6029253,0.0005595321653078203,0.0004955942791967287,0.0,0.0,0.0
31,1691686,0.00034615374694484927,0.0007181236766292533,0.0,0.0,0.0
31,4429118,0.007683651606373648,0.9979429815610874,0.0,0.0,24.0
31,6312841,0.00034615374694484927,0.0007214192851603836,0.0,0.0,0.0
31,1702712,7.633063357462561e-05,0.9392194412547412,0.0,10.0,14.0
31,2134459,0.0009108999213961797,0.0005277122269704836,0.0,0.0,0.0
31,86268,0.003057101657370293,0.011487302403574323,0.0,0.0,0.0
31,10497899,0.0003685620266049773,0.0006430671075385501,0.0,0.0,0.0
31,6212087,0.00034207836832443904,0.0008169924723397753,0.0,0.0,0.0
31,1744342,7.633063357462561e-05,1.0,11.0,0.0,1.0
31,12129724,0.0005658482241999698,0.0006466905733331234,0.0,0.0,0.0
31,1034801,0.0005671718613886023,0.0004955942791967287,0.0,0.0,0.0
31,113656,0.0005671718613886023,0.0004955942791967287,0.0,0.0,0.0
31,14231480,0.12416119152587088,0.8537253451531448,0.0,0.0,13.0
31,1409225,0.0003357623094322897,0.000657398340221558,0.0,0.0,0.0
31,1682785,7.633063357462561e-05,1.0,0.0,0.0,42.0
31,1255252,0.0014727129807797727,0.017673008615099534,0.0,0.0,14.0
31,9196544,0.0003357623094322897,0.0006786852263889685,0.0,0.0,0.0
31,9841961,0.6330070038072432,0.4678514118319814,0.0,7.0,21.0
31,10621406,0.0003685620266049773,0.001669527225806445,0.0,0.0,0.0
31,7770216,0.0003357623094322897,0.0007181236766292533,0.0,0.0,0.0
31,11580742,0.0005658482241999698,0.0004955942791967287,0.0,0.0,0.0
31,1046700,0.3653881521089151,0.6587813170065984,0.0,0.0,0.0
